"Rank","Tier","WSID","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"216","11","","Andy Isabella","ARI","WR81","12","109","326","218.9","41.5","228.0","+12.0"
"217","11","","Nelson Agholor","PHI","WR82","10","131","292","220.3","26.9","231.0","+14.0"
"218","11","","John Ross","CIN","WR83","9","65","297","218.0","30.7","274.0","+56.0"
"219","11","","Ka'imi Fairbairn","HOU","K6","10","151","302","215.6","23.1","174.0","-45.0"
"220","11","","Dallas (DAL)","","DST12","8","164","250","213.0","14.5","180.0","-40.0"
"221","11","","Buffalo (BUF)","","DST13","6","164","307","211.9","20.5","220.0","-1.0"
"222","11","","Mason Crosby","GB","K7","11","187","255","220.4","8.9","214.0","-8.0"
"223","11","","Joe Flacco","DEN","QB29","10","158","341","241.0","36.7","240.0","+17.0"
"224","11","","Elijah McGuire","NYJ","RB66","4","66","376","222.2","48.1","297.0","+73.0"
"225","11","","Josh Doctson","WAS","WR84","10","127","379","229.9","42.3","326.0","+101.0"
"226","11","","Philadelphia (PHI)","","DST14","10","140","303","224.1","20.1","173.0","-53.0"
"227","11","","T.J. Yeldon","BUF","RB67","6","119","337","225.1","36.9","250.0","+23.0"
"228","11","","Malcolm Brown","LAR","RB68","9","130","321","228.0","40.2","292.0","+64.0"
"229","11","","Gus Edwards","BAL","RB69","8","80","359","228.8","44.2","258.0","+29.0"
"230","11","","Jake Elliott","PHI","K8","10","189","253","224.5","8.2","208.0","-22.0"
"231","11","","Seattle (SEA)","","DST15","11","176","318","225.3","18.8","222.0","-9.0"
"232","11","","Brett Maher","DAL","K9","8","190","276","230.1","12.6","192.0","-40.0"
"233","11","","Paul Richardson","WAS","WR85","10","151","341","230.7","38.3","295.0","+62.0"
"234","11","","Robbie Gould","SF","K10","4","192","287","233.3","15.0","164.0","-70.0"
"235","11","","Pittsburgh (PIT)","","DST16","7","165","303","233.7","23.3","218.0","-17.0"
"236","11","","Matt Prater","DET","K11","5","194","308","231.6","16.4","217.0","-19.0"
"237","11","","Michael Badgley","LAC","K12","12","196","287","234.9","14.5","210.0","-27.0"
"238","11","","Cameron Brate","TB","TE27","7","153","344","239.9","37.2","294.0","+56.0"
"239","11","","Frank Gore","BUF","RB70","6","168","322","232.6","36.9","267.0","+28.0"
"240","11","","D.J. Chark","JAC","WR86","10","90","306","233.7","33.2","319.0","+79.0"
"241","11","","D'Onta Foreman","IND","RB71","6","51","359","197.6","62.8","158.0","-83.0"
"242","12","","Tennessee (TEN)","","DST17","11","195","299","234.5","18.7","229.0","-13.0"
"243","12","","Adam Vinatieri","IND","K13","6","198","276","240.0","12.8","206.0","-37.0"
"244","12","","Indianapolis (IND)","","DST18","6","159","307","240.1","24.6","224.0","-20.0"
"245","12","","Kansas City (KC)","","DST19","12","145","339","245.4","34.0","190.0","-55.0"
"246","12","","Ryquell Armstead","JAC","RB72","10","134","379","238.3","53.0","263.0","+17.0"
"247","12","","Theo Riddick","DEN","RB73","10","144","337","231.8","43.3","288.0","+41.0"
"248","12","","Kenneth Dixon","BAL","RB74","8","57","345","226.2","50.1","327.0","+79.0"
"249","12","","Ricky Seals-Jones","ARI","TE28","12","141","347","247.0","36.7","325.0","+76.0"
"250","12","","Cole Beasley","BUF","WR87","6","122","337","242.5","43.7","246.0","-4.0"
"251","12","","Willie Snead","BAL","WR88","8","109","363","236.0","38.0","302.0","+51.0"
"252","12","","Eli Manning","NYG","QB30","11","178","325","256.8","31.3","249.0","-3.0"
"253","12","","Danny Amendola","DET","WR89","5","137","375","242.1","45.8","266.0","+13.0"
"254","12","","Ian Thomas","CAR","TE29","7","153","365","247.6","41.9","256.0","+2.0"
"255","12","","Jason Witten","DAL","TE30","8","92","360","235.3","47.4","196.0","-59.0"
"256","12","","Hayden Hurst","BAL","TE31","8","173","381","249.4","37.9","310.0","+54.0"
"257","12","","Jason Myers","SEA","K14","11","194","302","251.6","17.8","223.0","-34.0"
"258","12","","Doug Martin","OAK","RB75","6","104","329","249.8","39.0","323.0","+65.0"
"259","12","","Dwayne Haskins","WAS","QB31","10","172","344","261.0","38.2","213.0","-46.0"
"260","12","","Darren Waller","OAK","TE32","6","106","375","204.1","54.4","233.0","-27.0"
"261","12","","Josh Reynolds","LAR","WR90","9","192","369","254.5","36.1","338.0","+77.0"
"262","12","","Phillip Dorsett","NE","WR91","10","182","355","258.9","39.8","291.0","+29.0"
"263","12","","Equanimeous St. Brown","GB","WR92","11","137","361","247.9","35.5","337.0","+74.0"
"264","12","","Graham Gano","CAR","K15","7","201","296","253.6","15.3","260.0","-4.0"
"265","12","","Aldrick Rosas","NYG","K16","11","153","332","261.5","23.3","225.0","-40.0"
"266","12","","Carolina (CAR)","","DST20","7","184","325","259.5","22.8","244.0","-22.0"
"267","12","","Keelan Cole","JAC","WR93","10","82","340","255.2","31.4","347.0","+80.0"
"268","12","","Ryan Fitzpatrick","MIA","QB32","5","163","395","268.2","42.9","264.0","-4.0"
"269","12","","Dan Bailey","MIN","K17","12","204","305","266.3","21.6","215.0","-54.0"
"270","12","","Green Bay (GB)","","DST21","11","145","318","266.9","35.5","230.0","-40.0"
"271","12","","Chris Boswell","PIT","K18","7","187","305","272.2","22.7","278.0","+7.0"
"272","12","","J.J. Arcega-Whiteside","PHI","WR94","10","155","375","261.7","39.4","269.0","-3.0"
"273","12","","Chris Conley","JAC","WR95","10","168","371","262.1","36.2","380.0","+107.0"
"274","12","","Ryan Succop","TEN","K19","11","189","308","274.9","20.0","251.0","-23.0"
"275","12","","Josh Rosen","MIA","QB33","5","178","371","281.0","41.5","268.0","-7.0"
"276","12","","Atlanta (ATL)","","DST22","9","188","318","267.5","24.6","245.0","-31.0"
"277","12","","Darwin Thompson","KC","RB76","12","123","381","250.0","63.8","212.0","-65.0"
"278","12","","Tony Pollard","DAL","RB77","8","130","353","231.2","61.1","211.0","-67.0"
"279","12","","Rashard Higgins","CLE","WR96","7","110","343","267.4","45.0","272.0","-7.0"
"280","12","","Corey Clement","PHI","RB78","10","189","351","274.5","31.4","356.0","+76.0"
"281","12","","Benny Snell Jr.","PIT","RB79","7","172","380","274.5","43.2","248.0","-33.0"
"282","12","","Josh Lambo","JAC","K20","10","154","353","286.1","27.9","320.0","+38.0"
"283","12","","Hakeem Butler","ARI","WR97","12","175","385","271.6","44.2","279.0","-4.0"
"284","12","","Nick Vannett","SEA","TE33","11","191","377","276.4","34.5","478.0","+194.0"
"285","12","","Taywan Taylor","TEN","WR98","11","194","372","270.0","38.0","392.0","+107.0"
"286","12","","Chris Hogan","CAR","WR99","7","177","379","279.7","37.4","300.0","+14.0"
"287","12","","Brandon McManus","DEN","K21","10","191","339","284.6","18.5","257.0","-30.0"
"288","12","","Demaryius Thomas","NE","WR100","10","148","379","264.9","46.6","241.0","-47.0"
"289","12","","Breshad Perriman","TB","WR101","7","148","374","281.7","45.4","363.0","+74.0"
"290","12","","Washington (WAS)","","DST23","10","141","333","287.6","41.9","271.0","-19.0"
"291","12","","Greg Joseph","CLE","K22","7","162","342","280.1","28.9","406.0","+115.0"
"292","12","","Arizona (ARI)","","DST24","12","157","330","286.2","31.3","261.0","-31.0"
"293","13","","Giorgio Tavecchio","ATL","K23","9","204","325","272.1","34.4","207.0","-86.0"
"294","13","","Miles Boykin","BAL","WR102","8","115","345","258.5","54.1","289.0","-5.0"
"295","13","","Dexter Williams","GB","RB80","11","153","393","273.9","57.8","275.0","-20.0"
"296","13","","Steven Hauschka","BUF","K24","6","156","332","294.0","28.4","306.0","+10.0"
"297","13","","Ty Montgomery","NYJ","RB81","4","149","376","288.7","43.0","318.0","+21.0"
"298","13","","Charles Clay","ARI","TE34","12","209","391","289.8","39.7","398.0","+100.0"
"299","13","","Devontae Booker","DEN","RB82","10","188","382","286.9","41.8","368.0","+69.0"
