"Rank","Tier","WSID","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"35","4","","Derrick Henry","TEN","RB19","11","10","70","34.5","10.7","36.0","+1.0"
"36","4","","Brandin Cooks","LAR","WR15","9","20","74","36.1","7.2","39.0","+3.0"
"37","4","","Zach Ertz","PHI","TE3","10","18","73","37.1","14.8","33.0","-4.0"
"38","4","","Robert Woods","LAR","WR16","9","26","79","39.8","9.7","40.0","+2.0"
"39","4","","Julian Edelman","NE","WR17","10","8","75","41.0","10.3","44.0","+5.0"
"40","4","","Chris Carson","SEA","RB20","11","10","82","42.1","10.6","41.0","+1.0"
"41","4","","Kenny Golladay","DET","WR18","5","30","99","42.9","10.0","43.0","+2.0"
"42","4","","Patrick Mahomes","KC","QB1","12","7","64","37.9","9.0","17.0","-25.0"
"43","5","","Josh Jacobs","OAK","RB21","6","12","341","45.5","21.2","38.0","-5.0"
"44","5","","Chris Godwin","TB","WR19","7","13","74","46.0","10.7","51.0","+7.0"
"45","5","","Mark Ingram","BAL","RB22","8","16","90","47.1","11.3","47.0","+2.0"
"46","5","","Sony Michel","NE","RB23","10","15","123","47.4","13.2","53.0","+7.0"
"47","5","","Cooper Kupp","LAR","WR20","9","30","85","51.8","10.9","50.0","+3.0"
"48","5","","Tyler Lockett","SEA","WR21","11","15","103","47.0","12.2","54.0","+6.0"
"49","5","","O.J. Howard","TB","TE4","7","19","112","55.5","17.8","57.0","+8.0"
"50","5","","Phillip Lindsay","DEN","RB24","10","22","114","57.3","12.4","42.0","-8.0"
"51","5","","Deshaun Watson","HOU","QB2","10","22","77","53.1","9.0","46.0","-5.0"
"52","5","","Calvin Ridley","ATL","WR22","9","40","85","59.2","10.5","55.0","+3.0"
"53","5","","David Montgomery","CHI","RB25","6","12","252","59.2","31.4","45.0","-8.0"
"54","5","","Tyler Boyd","CIN","WR23","9","34","92","61.0","12.5","58.0","+4.0"
"55","5","","Andrew Luck","IND","QB3","6","35","92","56.8","10.5","49.0","-6.0"
"56","5","","Aaron Rodgers","GB","QB4","11","35","79","57.2","7.6","52.0","-4.0"
"57","5","","Lamar Miller","HOU","RB26","10","38","119","62.8","14.0","64.0","+7.0"
"58","5","","Alshon Jeffery","PHI","WR24","10","34","99","58.4","12.5","68.0","+10.0"
"59","5","","Kenyan Drake","MIA","RB27","5","15","129","64.0","17.6","56.0","-3.0"
"60","6","","D.J. Moore","CAR","WR25","7","34","112","59.8","13.4","66.0","+6.0"
"61","6","","Mike Williams","LAC","WR26","12","25","93","59.8","12.4","60.0","-1.0"
"62","6","","Tevin Coleman","SF","RB28","4","27","129","66.5","17.0","59.0","-3.0"
"63","6","","Evan Engram","NYG","TE5","11","23","106","67.8","14.2","65.0","+2.0"
"64","6","","A.J. Green","CIN","WR27","9","19","122","62.9","21.9","48.0","-16.0"
"65","6","","Allen Robinson","CHI","WR28","6","34","111","62.9","16.6","77.0","+12.0"
"66","6","","James White","NE","RB29","10","15","109","68.4","15.4","69.0","+3.0"
"67","6","","Hunter Henry","LAC","TE6","12","23","102","69.0","14.5","70.0","+3.0"
